[29-Mar-2014 16:12:07 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 23
[29-Mar-2014 16:14:21 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 16:14:30 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\init.php on line 4
[29-Mar-2014 16:14:40 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\sign.php on line 23
[29-Mar-2014 16:14:47 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 23
[29-Mar-2014 16:25:30 UTC] PHP Warning:  include(../config.php): failed to open stream: No such file or directory in C:\Apache24\htdocs\proj1\book.php on line 17
[29-Mar-2014 16:25:30 UTC] PHP Warning:  include(): Failed opening '../config.php' for inclusion (include_path='.;C:\php\pear') in C:\Apache24\htdocs\proj1\book.php on line 17
[29-Mar-2014 16:25:30 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\book.php on line 18
[29-Mar-2014 16:25:31 UTC] PHP Warning:  include(../config.php): failed to open stream: No such file or directory in C:\Apache24\htdocs\proj1\book.php on line 17
[29-Mar-2014 16:25:31 UTC] PHP Warning:  include(): Failed opening '../config.php' for inclusion (include_path='.;C:\php\pear') in C:\Apache24\htdocs\proj1\book.php on line 17
[29-Mar-2014 16:25:31 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\book.php on line 18
[29-Mar-2014 16:25:56 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\book.php on line 18
[29-Mar-2014 16:30:43 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in C:\Apache24\htdocs\proj1\login.php on line 31
